date,value_eur
2023-06-29,322.60 
2023-06-30,310.62 
2023-07-01,300.60 
2023-07-02,305.28 
2023-07-03,305.28 
2023-07-04,295.08 
2023-07-05,290.61 
2023-07-06,288.16 
2023-07-07,288.98 
2023-07-08,286.19 
2023-07-09,289.77 
2023-07-10,283.06 
2023-07-11,280.29 
2023-07-12,280.60 
2023-07-13,280.27 
2023-07-14,275.27 
2023-07-15,276.45 
2023-07-16,276.21 
2023-07-17,273.66 
2023-07-18,297.70 
2023-07-19,288.13 
2023-07-20,285.50 
2023-07-21,292.68 
2023-07-22,296.90 
2023-07-23,300.69 
2023-07-24,309.24 
2023-07-25,308.74 
2023-07-26,309.24 
2023-07-27,311.53 
2023-07-28,317.76 
2023-07-29,319.09 
2023-07-30,313.33 
2023-07-31,313.47 
2023-08-01,319.03 
2023-08-02,326.14 
2023-08-03,322.63 
2023-08-04,323.40 
2023-08-05,325.38 
2023-08-06,324.18 
2023-08-07,322.57 
2023-08-08,321.14 
2023-08-09,315.21 
2023-08-10,314.25 
2023-08-11,312.45 
2023-08-12,314.47 
2023-08-13,310.35 
2023-08-14,307.13 
2023-08-15,312.51 
2023-08-16,307.64 
2023-08-17,308.30 
2023-08-18,309.21 
2023-08-19,312.52 
2023-08-20,312.47 
2023-08-21,309.44 
2023-08-22,305.39 
2023-08-23,307.51 
2023-08-24,301.31 
2023-08-25,306.49 
2023-08-26,305.22 
2023-08-27,305.36 
2023-08-28,310.90 
2023-08-29,304.24 
2023-08-30,304.27 
2023-08-31,299.89 
2023-09-01,301.12 
2023-09-02,302.49 
2023-09-03,304.17 
2023-09-04,307.34 
2023-09-05,312.43 
2023-09-06,308.71 
2023-09-07,311.25 
2023-09-08,317.20 
2023-09-09,318.93 
2023-09-10,324.41 
2023-09-11,318.97 
2023-09-12,318.56 
2023-09-13,326.35 
2023-09-14,324.08 
2023-09-15,323.20 
2023-09-16,331.10 
2023-09-17,331.01 
2023-09-18,329.95 
2023-09-19,331.45 
2023-09-20,331.63 
2023-09-21,334.64 
2023-09-22,331.92 
2023-09-23,332.26 
2023-09-24,335.54 
2023-09-25,337.04 
2023-09-26,333.50 
2023-09-27,338.45 
2023-09-28,335.05 
2023-09-29,361.75 
2023-09-30,356.81 
2023-10-01,351.24 
2023-10-02,365.44 
2023-10-03,367.90 
2023-10-04,370.51 
2023-10-05,373.41 
2023-10-06,370.27 
2023-10-07,377.95 
2023-10-08,367.78 
2023-10-09,368.79 
2023-10-10,376.24 
2023-10-11,380.59 
2023-10-12,374.43 
2023-10-13,374.79 
2023-10-14,383.23 
2023-10-15,383.48 
2023-10-16,377.16 
2023-10-17,382.76 
2023-10-18,378.65 
2023-10-19,378.85 
2023-10-20,378.37 
2023-10-21,375.49 
2023-10-22,372.10 
2023-10-23,375.19 
2023-10-24,371.93 
2023-10-25,371.64 
2023-10-26,366.41 
2023-10-27,365.55 
2023-10-28,364.95 
2023-10-29,362.77 
2023-10-30,359.23 
2023-10-31,356.43 
2023-11-01,353.72 
2023-11-02,350.21 
2023-11-03,348.84 
2023-11-04,346.69 
2023-11-05,341.47 
2023-11-06,300.19 
2023-11-07,281.97 
2023-11-08,284.38 
2023-11-09,282.42 
2023-11-10,282.22 
2023-11-11,283.78 
2023-11-12,284.12 
2023-11-13,285.95 
2023-11-14,286.22 
2023-11-15,287.62 
2023-11-16,288.22 
2023-11-17,289.53 
2023-11-18,290.97 
2023-11-19,291.22 
2023-11-20,292.22 
2023-11-21,293.22 
2023-11-22,294.22 
2023-11-23,300.63 
2023-11-24,305.52 
2023-11-25,310.00 
2023-11-26,317.09 
2023-11-27,284.37 
2023-11-28,286.97 
2023-11-29,286.97 
2023-11-30,286.97 
2023-12-01,286.97 
2023-12-02,276.72 
2023-12-03,275.01 
2023-12-04,292.57 
2023-12-05,307.27 
2023-12-06,305.41 
2023-12-07,300.92 
2023-12-08,308.23 
2023-12-09,309.77 
2023-12-10,307.83 
2023-12-11,305.40 
2023-12-12,302.25 
2023-12-13,308.61 
2023-12-14,304.32 
2023-12-15,303.91 
2023-12-16,303.95 
2023-12-17,304.05 
2023-12-18,302.68 
2023-12-19,300.49 
2023-12-20,302.47 
2023-12-21,298.15 
2023-12-22,299.90 
2023-12-23,293.58 
2023-12-24,294.58 
2023-12-25,289.23 
2023-12-26,287.33 
2023-12-27,285.62 
2023-12-28,281.64 
2023-12-29,281.82 
2023-12-30,280.32 
2023-12-31,278.95 
2024-01-01,279.81 
2024-01-02,279.53 
2024-01-03,279.29 
2024-01-04,277.97 
2024-01-05,280.53 
2024-01-06,283.56 
2024-01-07,283.63 
2024-01-08,282.69 
2024-01-09,282.09 
2024-01-10,275.60 
2024-01-11,275.59 
2024-01-12,277.54 
2024-01-13,279.57 
2024-01-14,284.05 
2024-01-15,289.75 
2024-01-16,279.70 
2024-01-17,279.09 
2024-01-18,282.28 
2024-01-19,280.92 
2024-01-20,276.25 
2024-01-21,272.51 
2024-01-22,269.54 
2024-01-23,262.26 
2024-01-24,270.73 
2024-01-25,257.46 
2024-01-26,257.38 
2024-01-27,255.52 
2024-01-28,251.06 
2024-01-29,249.93 
2024-01-30,246.60 
2024-01-31,245.11 
2024-02-01,243.33 
2024-02-02,245.52 
2024-02-03,250.01 
2024-02-04,257.77 
2024-02-05,246.46 
2024-02-06,262.26 
2024-02-07,260.66 
2024-02-08,254.70 
2024-02-09,249.47 
2024-02-10,250.99 
2024-02-11,251.21 
2024-02-12,252.11 
2024-02-13,260.06 
2024-02-14,260.86 
2024-02-15,256.59 
2024-02-16,261.09 
2024-02-17,262.43 
2024-02-18,266.98 
2024-02-19,264.37 
